Total playtime: 964.071888888889 h

Version: Multiblock Madness, Total playtime: 228.87386111111113 h
	Save: 2023_1_19 multiblock madness, Playtime: 227.15780555555557 h
	Save: test, Playtime: 1.7160555555555554 h

Version: Factory of Singularity V1.3.1, Total playtime: 103.29790277777778 h
	Save: Factory of Singularity 2024-2-5, Playtime: 101.35358333333333 h
	Save: 新的世界, Playtime: 1.9443194444444445 h

Version: 全能工厂 Nomifactory - 1.2.2-redux - The Community Update, Total playtime: 87.83295833333334 h
	Save: 全能工厂, Playtime: 85.63479166666667 h
	Save: 新的Default World, Playtime: 2.198166666666667 h

Version: Vault Hunters 3rd Edition V4.1, Total playtime: 64.869125 h
	Save: 新的世界, Playtime: 64.869125 h

Version: Vault Hunters 2nd Edition 1.13.8, Total playtime: 54.796527777777776 h
	Save: Vault Hunter 2nd 1_13_8 2023_5_6, Playtime: 54.545430555555555 h
	Save: 新的世界, Playtime: 0.25109722222222225 h

Version: Create：Arcane Engineering V1.9.3, Total playtime: 46.44177777777778 h
	Save: CAE 2024-2-25, Playtime: 35.71263888888889 h
	Save: 创造Test, Playtime: 5.592305555555556 h
	Save: -5567775896454821668 创造找结构, Playtime: 5.136833333333334 h

Version: 1.8.8, Total playtime: 45.97679166666667 h
	Save: backup, Playtime: 25.311972222222224 h
	Save: -= Ragecraft III - The Prophecy =-, Playtime: 20.664819444444444 h

Version: 1.19.2, Total playtime: 41.63975 h
	Save: Divinity's End, Playtime: 22.586805555555557 h
	Save: Divinity's End Solo, Playtime: 15.107152777777777 h
	Save: Project Run, Playtime: 3.4212777777777776 h
	Save: Above & Below, Playtime: 0.5245138888888888 h

Version: 1.10.2-Forge 12.18.3.2511-OptiFine_I5, Total playtime: 41.40748611111112 h
	Save: §6§l-= The Redemption =-, Playtime: 39.502097222222226 h
	Save: Blocked In Combat, Playtime: 1.6025833333333332 h
	Save: 疯狂的战争, Playtime: 0.2510277777777778 h
	Save: 交换杀人, Playtime: 0.05177777777777778 h
	Save: Ballistic Wars V.2, Playtime: 0 h

Version: 龙之冒险v2.1, Total playtime: 39.751444444444445 h
	Save: 新的世界, Playtime: 39.751444444444445 h

Version: 1.17.1, Total playtime: 37.58980555555556 h
	Save: _The Trials of Beldroth - 1.0_, Playtime: 26.737180555555554 h
	Save: MC Bingo v1_33 by SirChi, Playtime: 3.207027777777778 h
	Save: InfinityDungeons v1.1.1.1.1, Playtime: 2.652486111111111 h
	Save: 方格地牢_V1_1, Playtime: 2.6375972222222224 h
	Save: Dimension Parkour, Playtime: 1.6109722222222222 h
	Save: By§a I_AM_DIRT§r, Playtime: 0.6804027777777778 h
	Save: 超简单绿宝石印钞机-气泡柱恼鬼抑制+仓库, Playtime: 0.06413888888888888 h

Version: Star Factory, Total playtime: 23.368666666666666 h
	Save: Star Factory 2024-2-1, Playtime: 23.368666666666666 h

Version: 1.12.2, Total playtime: 20.472819444444447 h
	Save: 1.12.2よネ by﹡纒, Playtime: 17.844805555555556 h
	Save: Parkour Spiral 2, Playtime: 1.935111111111111 h
	Save: Dual of the Archers (Beta 1.40), Playtime: 0.42604166666666665 h
	Save: 交换杀人, Playtime: 0.258 h
	Save: 幸运大战 - 幸运玩家4人赛道, Playtime: 0.008861111111111111 h

Version: E2E 1.86, Total playtime: 17.754 h
	Save: E2E 1_86version 2023_6_26, Playtime: 17.754 h

Version: Andromeda+Automation-7.6.1, Total playtime: 17.148458333333334 h
	Save: 仙女座自动化空岛, Playtime: 17.148458333333334 h

Version: 1.11.2-Forge 13.20.1.2588-OptiFine_G5, Total playtime: 14.486069444444444 h
	Save: Captive Minecraft, Playtime: 14.474958333333333 h
	Save: 新的世界, Playtime: 0.011111111111111112 h

Version: 1.15.2, Total playtime: 11.98123611111111 h
	Save: Nemesis II - Neon Wounds by Nava Solo, Playtime: 11.98123611111111 h

Version: 1.16.5-Forge 36.2.0-OptiFine_G8 （逃离迷宫）, Total playtime: 11.860194444444444 h
	Save: 李然联机用, Playtime: 9.564263888888888 h
	Save: Mazescapist, Playtime: 2.2959305555555556 h

Version: 1.18.2, Total playtime: 10.286819444444445 h
	Save: Parkour Pyramid, Playtime: 6.918819444444445 h
	Save: Parkour Paradise 3, Playtime: 3.023388888888889 h
	Save: Parkour Spiral 2, Playtime: 0.17515277777777777 h
	Save: 简单猪人塔, Playtime: 0.13697222222222222 h
	Save: Dimension Parkour, Playtime: 0.03248611111111111 h

Version: 测试1.16.5, Total playtime: 8.684472222222222 h
	Save: 将要决战, Playtime: 8.684472222222222 h

Version: 1.14.4, Total playtime: 7.407472222222222 h
	Save: Nemesis - Winds of Time v1.1 by Nava, Playtime: 7.407472222222222 h

Version: 1.18.1-Forge_39.1.0, Total playtime: 4.6681944444444445 h
	Save: 505, Playtime: 4.525486111111111 h
	Save: 新的世界, Playtime: 0.14270833333333333 h

Version: FTB Presents Stoneblock 2, Total playtime: 2.8908055555555556 h
	Save: 新的世界, Playtime: 2.8908055555555556 h

Version: 1.18.1, Total playtime: 2.7579305555555553 h
	Save: Hexa Parkour, Playtime: 1.8114305555555557 h
	Save: Dungeons, Playtime: 0.49827777777777776 h
	Save: 超简单绿宝石印钞机-气泡柱恼鬼抑制+仓库, Playtime: 0.3042361111111111 h
	Save: 新的世界, Playtime: 0.07455555555555556 h
	Save: 凋零玫瑰农场 (1), Playtime: 0.06943055555555555 h
	Save: Arrow Fight, Playtime: 0 h

